 kgrid  ValNew  Policy 
    0.85  -24.998 0.870931
 0.85001 -24.9972 0.870941
 0.85002 -24.9965 0.870941
 0.85003 -24.9957 0.870951
 0.85004 -24.9949 0.870951
 0.85005 -24.9941 0.870961
 0.85006 -24.9933 0.870971
 0.85007 -24.9925 0.870981
 0.85008 -24.9917 0.870981
 0.85009 -24.9909 0.870991
  0.8501 -24.9901 0.871001
 0.85011 -24.9893 0.871001
 0.85012 -24.9885 0.871011
 0.85013 -24.9877 0.871021
 0.85014 -24.9869 0.871021
 0.85015 -24.9861 0.871031
 0.85016 -24.9853 0.871041
 0.85017 -24.9845 0.871041
 0.85018 -24.9837 0.871051
 0.85019 -24.9829 0.871061
  0.8502 -24.9821 0.871061
 0.85021 -24.9813 0.871071
 0.85022 -24.9805 0.871081
 0.85023 -24.9797 0.871091
 0.85024  -24.979 0.871091
 0.85025 -24.9782 0.871101
 0.85026 -24.9774 0.871111
 0.85027 -24.9766 0.871111
 0.85028 -24.9758 0.871121
 0.85029  -24.975 0.871131
  0.8503 -24.9742 0.871131
 0.85031 -24.9734 0.871141
 0.85032 -24.9726 0.871151
 0.85033 -24.9718 0.871151
 0.85034  -24.971 0.871161
 0.85035 -24.9702 0.871171
 0.85036 -24.9694 0.871171
 0.85037 -24.9686 0.871181
 0.85038 -24.9678 0.871191
 0.85039  -24.967 0.871201
  0.8504 -24.9662 0.871201
 0.85041 -24.9654 0.871211
 0.85042 -24.9647 0.871221
 0.85043 -24.9639 0.871221
 0.85044 -24.9631 0.871231
 0.85045 -24.9623 0.871241
 0.85046 -24.9615 0.871241
 0.85047 -24.9607 0.871251
 0.85048 -24.9599 0.871261
 0.85049 -24.9591 0.871261
  0.8505 -24.9583 0.871271
 0.85051 -24.9575 0.871281
 0.85052 -24.9567 0.871281
 0.85053 -24.9559 0.871291
 0.85054 -24.9551 0.871301
 0.85055 -24.9543 0.871311
 0.85056 -24.9535 0.871311
 0.85057 -24.9527 0.871321
 0.85058  -24.952 0.871331
 0.85059 -24.9512 0.871331
  0.8506 -24.9504 0.871341
 0.85061 -24.9496 0.871351
 0.85062 -24.9488 0.871351
 0.85063  -24.948 0.871361
 0.85064 -24.9472 0.871371
 0.85065 -24.9464 0.871371
 0.85066 -24.9456 0.871381
 0.85067 -24.9448 0.871391
 0.85068  -24.944 0.871391
 0.85069 -24.9432 0.871401
  0.8507 -24.9424 0.871411
 0.85071 -24.9416 0.871411
 0.85072 -24.9409 0.871421
 0.85073 -24.9401 0.871431
 0.85074 -24.9393 0.871441
 0.85075 -24.9385 0.871441
 0.85076 -24.9377 0.871451
 0.85077 -24.9369 0.871461
 0.85078 -24.9361 0.871461
 0.85079 -24.9353 0.871471
  0.8508 -24.9345 0.871481
 0.85081 -24.9337 0.871481
 0.85082 -24.9329 0.871491
 0.85083 -24.9321 0.871501
 0.85084 -24.9313 0.871501
 0.85085 -24.9305 0.871511
 0.85086 -24.9298 0.871521
 0.85087  -24.929 0.871531
 0.85088 -24.9282 0.871531
 0.85089 -24.9274 0.871541
  0.8509 -24.9266 0.871541
 0.85091 -24.9258 0.871551
 0.85092  -24.925 0.871561
 0.85093 -24.9242 0.871571
 0.85094 -24.9234 0.871571
 0.85095 -24.9226 0.871581
 0.85096 -24.9218 0.871591
 0.85097  -24.921 0.871591
 0.85098 -24.9203 0.871601
 0.85099 -24.9195 0.871611
   0.851 -24.9187 0.871611
 0.85101 -24.9179 0.871621
 0.85102 -24.9171 0.871631
 0.85103 -24.9163 0.871631
 0.85104 -24.9155 0.871641
 0.85105 -24.9147 0.871651
 0.85106 -24.9139 0.871651
 0.85107 -24.9131 0.871661
 0.85108 -24.9123 0.871671
 0.85109 -24.9115 0.871681
  0.8511 -24.9108 0.871681
 0.85111   -24.91 0.871691
 0.85112 -24.9092 0.871701
