 kgrid  ValNew  Policy 
     0.85  -7.53791      0.85
  0.85015  -7.52599      0.85
   0.8503  -7.51409      0.85
  0.85045  -7.50222      0.85
   0.8506  -7.49037      0.85
  0.85075  -7.47854      0.85
   0.8509  -7.46673      0.85
 0.851051  -7.45495      0.85
 0.851201   -7.4432      0.85
 0.851351  -7.43146      0.85
 0.851501  -7.41975      0.85
 0.851651  -7.40806      0.85
 0.851801   -7.3964      0.85
 0.851951  -7.38476      0.85
 0.852101  -7.37314      0.85
 0.852251  -7.36154      0.85
 0.852401  -7.34997      0.85
 0.852551  -7.33842      0.85
 0.852701   -7.3269      0.85
 0.852851  -7.31539      0.85
 0.853002  -7.30391      0.85
 0.853152  -7.29245      0.85
 0.853302  -7.28102      0.85
 0.853452   -7.2696      0.85
 0.853602  -7.25821      0.85
 0.853752  -7.24684      0.85
 0.853902   -7.2355      0.85
 0.854052  -7.22418      0.85
 0.854202  -7.21287      0.85
 0.854352   -7.2016      0.85
 0.854502  -7.19034      0.85
 0.854652   -7.1791      0.85
 0.854802  -7.16789      0.85
 0.854952   -7.1567      0.85
 0.855103  -7.14553      0.85
 0.855253  -7.13439      0.85
 0.855403  -7.12326      0.85
 0.855553  -7.11216      0.85
 0.855703  -7.10108      0.85
 0.855853  -7.09002      0.85
 0.856003  -7.07898      0.85
 0.856153  -7.06797      0.85
 0.856303  -7.05697      0.85
 0.856453    -7.046      0.85
 0.856603  -7.03505      0.85
 0.856753  -7.02412      0.85
 0.856903  -7.01321      0.85
 0.857054  -7.00232      0.85
 0.857204  -6.99146      0.85
 0.857354  -6.98061      0.85
 0.857504  -6.96979      0.85
 0.857654  -6.95899      0.85
 0.857804  -6.94821      0.85
 0.857954  -6.93745      0.85
 0.858104  -6.92671      0.85
 0.858254  -6.91599      0.85
 0.858404  -6.90529      0.85
 0.858554  -6.89461      0.85
 0.858704  -6.88396      0.85
 0.858854  -6.87332      0.85
 0.859005  -6.86271      0.85
 0.859155  -6.85211      0.85
 0.859305  -6.84154      0.85
 0.859455  -6.83099      0.85
 0.859605  -6.82046      0.85
 0.859755  -6.80995      0.85
 0.859905  -6.79945      0.85
 0.860055  -6.78898      0.85
 0.860205  -6.77853      0.85
 0.860355   -6.7681      0.85
 0.860505  -6.75769      0.85
 0.860655   -6.7473      0.85
 0.860805  -6.73693      0.85
 0.860955  -6.72658      0.85
 0.861106  -6.71625      0.85
 0.861256  -6.70594      0.85
 0.861406  -6.69565      0.85
 0.861556  -6.68538      0.85
 0.861706  -6.67513      0.85
 0.861856   -6.6649      0.85
 0.862006  -6.65469      0.85
 0.862156   -6.6445      0.85
 0.862306  -6.63433      0.85
 0.862456  -6.62418      0.85
 0.862606  -6.61404      0.85
 0.862756  -6.60393      0.85
 0.862906  -6.59384      0.85
 0.863057  -6.58376      0.85
 0.863207  -6.57371      0.85
 0.863357  -6.56367      0.85
 0.863507  -6.55366      0.85
 0.863657  -6.54366      0.85
 0.863807  -6.53369      0.85
 0.863957  -6.52373      0.85
 0.864107  -6.51379      0.85
 0.864257  -6.50387      0.85
 0.864407  -6.49397      0.85
 0.864557  -6.48408      0.85
 0.864707  -6.47422      0.85
 0.864857  -6.46438      0.85
 0.865008  -6.45455      0.85
 0.865158  -6.44475      0.85
 0.865308  -6.43496      0.85
 0.865458  -6.42519      0.85
 0.865608  -6.41544      0.85
 0.865758  -6.40571      0.85
 0.865908  -6.39599      0.85
 0.866058   -6.3863      0.85
 0.866208  -6.37662      0.85
 0.866358  -6.36696      0.85
 0.866508  -6.35732      0.85
 0.866658   -6.3477      0.85
 0.866808   -6.3381      0.85
 0.866958  -6.32852      0.85
 0.867109  -6.31895      0.85
 0.867259   -6.3094      0.85
 0.867409  -6.29987      0.85
 0.867559  -6.29036      0.85
 0.867709  -6.28087      0.85
 0.867859  -6.27139      0.85
 0.868009  -6.26193      0.85
 0.868159  -6.25249      0.85
 0.868309  -6.24307      0.85
 0.868459  -6.23367      0.85
 0.868609  -6.22428      0.85
 0.868759  -6.21492      0.85
 0.868909  -6.20557      0.85
  0.86906  -6.19623      0.85
  0.86921  -6.18692      0.85
  0.86936  -6.17762      0.85
  0.86951  -6.16834      0.85
  0.86966  -6.15908      0.85
  0.86981  -6.14983      0.85
  0.86996  -6.14061      0.85
  0.87011   -6.1314      0.85
  0.87026   -6.1222      0.85
  0.87041  -6.11303      0.85
  0.87056  -6.10387      0.85
  0.87071  -6.09473      0.85
  0.87086  -6.08561      0.85
 0.871011   -6.0765      0.85
 0.871161  -6.06741      0.85
 0.871311  -6.05834      0.85
 0.871461  -6.04929      0.85
 0.871611  -6.04025      0.85
 0.871761  -6.03123      0.85
 0.871911  -6.02222      0.85
 0.872061  -6.01324      0.85
 0.872211  -6.00427      0.85
 0.872361  -5.99531      0.85
 0.872511  -5.98638      0.85
 0.872661  -5.97746      0.85
 0.872811  -5.96856      0.85
 0.872961  -5.95967      0.85
 0.873112   -5.9508      0.85
 0.873262  -5.94195      0.85
 0.873412  -5.93311      0.85
 0.873562  -5.92429      0.85
 0.873712  -5.91549      0.85
 0.873862   -5.9067      0.85
 0.874012  -5.89793      0.85
 0.874162  -5.88918      0.85
 0.874312  -5.88044      0.85
 0.874462  -5.87172      0.85
 0.874612  -5.86301      0.85
 0.874762  -5.85432      0.85
 0.874912  -5.84565      0.85
 0.875063    -5.837      0.85
 0.875213  -5.82836      0.85
 0.875363  -5.81973      0.85
 0.875513  -5.81112      0.85
 0.875663  -5.80253      0.85
 0.875813  -5.79396      0.85
 0.875963   -5.7854      0.85
 0.876113  -5.77685      0.85
 0.876263  -5.76832      0.85
 0.876413  -5.75981      0.85
 0.876563  -5.75131      0.85
 0.876713  -5.74283      0.85
 0.876863  -5.73437      0.85
 0.877014  -5.72592      0.85
 0.877164  -5.71749      0.85
 0.877314  -5.70907      0.85
 0.877464  -5.70067      0.85
 0.877614  -5.69228      0.85
 0.877764  -5.68391      0.85
 0.877914  -5.67555      0.85
 0.878064  -5.66721      0.85
 0.878214  -5.65889      0.85
 0.878364  -5.65058      0.85
 0.878514  -5.64228      0.85
 0.878664    -5.634      0.85
 0.878814  -5.62574      0.85
 0.878964  -5.61749      0.85
 0.879115  -5.60926      0.85
 0.879265  -5.60104      0.85
